         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1502285560.98     0     38.34      0.00      4.37     1     38.34      0.00      4.37     2     38.34      0.00      4.37     3     38.34      0.00      4.37     4     38.34      0.00      4.37     5     38.34      0.00      4.37     6     38.34      0.00      4.37     7     38.34      0.00      4.37     8     38.34      0.00      4.37     9     38.34      0.00      4.37    10     38.34      0.00      4.37    11     38.34      0.00      4.37    12     36.67      0.00      4.72    13     36.67      0.00      4.72    14     36.66      0.00      4.72    15     36.66      0.00      4.72    16     36.66      0.00      4.72    17     36.66      0.00      4.72    18     36.66      0.00      4.72    19     36.66      0.00      4.72    20     36.66      0.00      4.72    21     36.66      0.00      4.72    22     36.66      0.00      4.72    23     36.66      0.00      4.72
 1502285561.08     0     38.72      0.00      4.43     1     38.72      0.00      4.43     2     38.72      0.00      4.43     3     38.72      0.00      4.43     4     38.72      0.00      4.43     5     38.72      0.00      4.43     6     38.73      0.00      4.43     7     38.72      0.00      4.43     8     38.72      0.00      4.43     9     38.72      0.00      4.43    10     38.72      0.00      4.43    11     38.72      0.00      4.43    12     36.29      0.00      4.68    13     36.29      0.00      4.68    14     36.29      0.00      4.68    15     36.29      0.00      4.68    16     36.29      0.00      4.68    17     36.29      0.00      4.68    18     36.29      0.00      4.68    19     36.29      0.00      4.68    20     36.29      0.00      4.68    21     36.29      0.00      4.68    22     36.29      0.00      4.68    23     36.29      0.00      4.68
 1502285561.18     0     38.33      0.00      4.37     1     38.33      0.00      4.37     2     38.33      0.00      4.37     3     38.33      0.00      4.37     4     38.33      0.00      4.37     5     38.33      0.00      4.37     6     38.33      0.00      4.37     7     38.34      0.00      4.37     8     38.34      0.00      4.37     9     38.34      0.00      4.37    10     38.34      0.00      4.37    11     38.34      0.00      4.37    12     36.35      0.00      4.67    13     36.35      0.00      4.67    14     36.35      0.00      4.67    15     36.35      0.00      4.67    16     36.35      0.00      4.67    17     36.35      0.00      4.67    18     36.35      0.00      4.67    19     36.35      0.00      4.67    20     36.35      0.00      4.67    21     36.35      0.00      4.67    22     36.35      0.00      4.67    23     36.35      0.00      4.67
 1502285561.29     0     38.32      0.00      4.37     1     38.32      0.00      4.37     2     38.32      0.00      4.37     3     38.32      0.00      4.37     4     38.32      0.00      4.37     5     38.32      0.00      4.37     6     38.32      0.00      4.37     7     38.32      0.00      4.37     8     38.32      0.00      4.37     9     38.32      0.00      4.37    10     38.32      0.00      4.37    11     38.32      0.00      4.37    12     36.56      0.00      4.76    13     36.56      0.00      4.76    14     36.56      0.00      4.76    15     36.56      0.00      4.76    16     36.56      0.00      4.76    17     36.56      0.00      4.76    18     36.56      0.00      4.76    19     36.56      0.00      4.76    20     36.56      0.00      4.76    21     36.56      0.00      4.76    22     36.56      0.00      4.76    23     36.56      0.00      4.76
 1502285561.39     0     38.70      0.00      4.42     1     38.70      0.00      4.42     2     38.70      0.00      4.42     3     38.70      0.00      4.42     4     38.70      0.00      4.42     5     38.70      0.00      4.42     6     38.70      0.00      4.42     7     38.70      0.00      4.42     8     38.70      0.00      4.42     9     38.70      0.00      4.42    10     38.70      0.00      4.42    11     38.70      0.00      4.42    12     36.31      0.00      4.67    13     36.31      0.00      4.67    14     36.31      0.00      4.67    15     36.31      0.00      4.67    16     36.31      0.00      4.67    17     36.31      0.00      4.67    18     36.31      0.00      4.67    19     36.31      0.00      4.67    20     36.31      0.00      4.67    21     36.31      0.00      4.67    22     36.31      0.00      4.67    23     36.31      0.00      4.67
 1502285561.49     0     38.33      0.00      4.61     1     38.33      0.00      4.61     2     38.33      0.00      4.61     3     38.33      0.00      4.61     4     38.33      0.00      4.61     5     38.33      0.00      4.61     6     38.33      0.00      4.61     7     38.33      0.00      4.61     8     38.33      0.00      4.61     9     38.33      0.00      4.61    10     38.33      0.00      4.61    11     38.33      0.00      4.61    12     36.26      0.00      4.71    13     36.26      0.00      4.71    14     36.26      0.00      4.71    15     36.26      0.00      4.71    16     36.26      0.00      4.71    17     36.26      0.00      4.71    18     36.26      0.00      4.71    19     36.26      0.00      4.71    20     36.26      0.00      4.71    21     36.26      0.00      4.71    22     36.26      0.00      4.71    23     36.26      0.00      4.71
 1502285561.59     0     38.34      0.00      4.68     1     38.34      0.00      4.68     2     38.34      0.00      4.68     3     38.34      0.00      4.68     4     38.34      0.00      4.68     5     38.34      0.00      4.68     6     38.34      0.00      4.68     7     38.34      0.00      4.68     8     38.34      0.00      4.68     9     38.34      0.00      4.68    10     38.34      0.00      4.68    11     38.34      0.00      4.68    12     36.29      0.00      4.69    13     36.29      0.00      4.69    14     36.64      0.00      4.69    15     36.63      0.00      4.74    16     36.63      0.00      4.74    17     36.63      0.00      4.74    18     36.63      0.00      4.74    19     36.63      0.00      4.74    20     36.63      0.00      4.74    21     36.63      0.00      4.74    22     36.63      0.00      4.74    23     36.63      0.00      4.74
 1502285561.69     0     38.48      0.00      4.39     1     38.48      0.00      4.39     2     38.48      0.00      4.39     3     38.48      0.00      4.39     4     38.48      0.00      4.39     5     38.48      0.00      4.39     6     38.48      0.00      4.39     7     38.48      0.00      4.39     8     38.49      0.00      4.39     9     38.49      0.00      4.39    10     38.49      0.00      4.39    11     38.49      0.00      4.39    12     36.62      0.00      5.14    13     36.62      0.00      5.14    14     36.27      0.00      5.14    15     36.27      0.00      5.09    16     36.27      0.00      5.09    17     36.27      0.00      5.09    18     36.28      0.00      5.09    19     36.28      0.00      5.09    20     36.28      0.00      5.09    21     36.28      0.00      5.09    22     36.28      0.00      5.09    23     36.28      0.00      5.09
 1502285561.79     0     38.68      0.00      4.48     1     38.68      0.00      4.48     2     38.68      0.00      4.48     3     38.68      0.00      4.48     4     38.68      0.00      4.48     5     38.68      0.00      4.48     6     38.68      0.00      4.48     7     38.68      0.00      4.48     8     38.68      0.00      4.48     9     38.67      0.00      4.48    10     38.67      0.00      4.48    11     38.67      0.00      4.48    12     36.28      0.00      5.08    13     36.28      0.00      5.08    14     36.28      0.00      5.08    15     36.28      0.00      5.08    16     36.28      0.00      5.08    17     36.28      0.00      5.08    18     36.28      0.00      5.08    19     36.28      0.00      5.08    20     36.28      0.00      5.08    21     36.28      0.00      5.08    22     36.28      0.00      5.08    23     36.28      0.00      5.08
 1502285561.89     0     38.34      0.00      4.37     1     38.34      0.00      4.37     2     38.34      0.00      4.37     3     38.34      0.00      4.37     4     38.34      0.00      4.37     5     38.34      0.00      4.37     6     38.34      0.00      4.37     7     38.34      0.00      4.37     8     38.34      0.00      4.37     9     38.34      0.00      4.37    10     38.34      0.00      4.37    11     38.34      0.00      4.37    12     36.28      0.00      4.71    13     36.28      0.00      4.71    14     36.28      0.00      4.71    15     36.28      0.00      4.71    16     36.28      0.00      4.71    17     36.28      0.00      4.71    18     36.28      0.00      4.71    19     36.28      0.00      4.71    20     36.28      0.00      4.71    21     36.28      0.00      4.71    22     36.65      0.00      4.71    23     36.65      0.00      4.76
