         #Time  Core     P_PKG     P_PP0    P_DRAM  Core     P_PKG     P_PP0    P_DRAM
 1499882098.37     0     34.69     21.60     17.21    12     36.00     22.72     17.08
 1499882098.47     0     35.20     22.70     13.14    12     36.25     23.71     13.37
 1499882098.57     0     34.87     21.69     17.54    12     35.43     22.33     17.58
 1499882098.67     0     35.22     22.76     12.86    12     36.25     23.74     12.67
 1499882098.77     0     34.84     21.67     17.42    12     35.83     22.61     17.68
 1499882098.87     0     34.86     22.06     14.74    12     35.90     23.05     14.96
 1499882098.97     0     32.98     20.31     15.22    12     34.33     21.46     15.28
 1499882099.07     0     34.67     21.88     14.71    12     35.66     22.83     14.68
 1499882099.17     0     35.38     22.43     15.69    12     36.11     23.23     15.35
 1499882099.27     0     34.15     21.09     17.31    12     35.54     22.29     17.67
 1499882099.37     0     35.16     22.70     12.51    12     36.28     23.78     12.80
 1499882099.47     0     34.67     21.49     17.38    12     35.70     22.46     17.60
 1499882099.57     0     35.05     22.60     12.80    12     36.14     23.64     12.81
 1499882099.67     0     34.74     21.56     17.37    12     35.80     22.56     17.52
 1499882099.77     0     34.69     21.87     15.01    12     35.73     22.85     15.18
 1499882099.87     0     35.06     22.28     15.25    12     36.10     23.25     15.30
 1499882099.97     0     34.48     21.30     17.53    12     35.17     22.05     17.55
 1499882100.07     0     35.15     22.70     12.70    12     36.22     23.73     12.61
 1499882100.17     0     34.67     21.48     17.48    12     35.72     22.46     17.72
 1499882100.27     0     35.04     22.59     12.67    12     36.12     23.61     12.81
 1499882100.37     0     34.76     21.58     17.48    12     35.78     22.53     17.52
 1499882100.47     0     34.40     21.67     15.20    12     35.72     22.81     15.39
 1499882100.57     0     35.05     22.29     15.05    12     36.09     23.27     15.10
 1499882100.67     0     34.49     21.31     17.53    12     35.55     22.30     17.39
 1499882100.77     0     35.15     22.69     12.66    12     36.19     23.69     12.80
 1499882100.87     0     34.69     21.51     17.51    12     35.77     22.51     17.71
 1499882100.97     0     35.04     22.58     12.80    12     35.74     23.36     12.59
 1499882101.07     0     34.81     21.62     17.58    12     35.79     22.54     17.71
 1499882101.17     0     34.70     21.82     15.41    12     36.05     22.99     15.66
 1499882101.27     0     34.92     22.22     14.60    12     36.00     23.25     14.72
 1499882101.37     0     34.50     21.32     17.53    12     35.56     22.30     17.58
 1499882101.47     0     35.15     22.69     12.79    12     35.86     23.48     12.40
 1499882101.57     0     34.75     21.56     17.59    12     35.77     22.50     17.63
 1499882101.67     0     34.92     22.46     12.77    12     36.01     23.51     12.62
 1499882101.77     0     34.73     21.60     17.36    12     35.77     22.55     17.68
 1499882101.87     0     34.65     21.71     15.92    12     35.68     22.70     15.30
 1499882101.97     0     34.98     22.32     14.28    12     36.36     23.51     14.73
 1499882102.07     0     34.54     21.36     17.45    12     35.18     22.04     17.66
 1499882102.17     0     35.17     22.72     12.69    12     36.18     23.69     12.80
 1499882102.28     0     34.81     21.62     17.40    12     35.76     22.50     17.62
 1499882102.38     0     34.93     22.45     12.86    12     35.98     23.47     12.72
 1499882102.48     0     34.77     21.65     17.37    12     35.79     22.58     17.57
 1499882102.58     0     33.91     21.14     14.63    12     34.89     22.09     14.42
 1499882102.68     0     34.96     22.08     15.84    12     35.93     23.02     15.69
 1499882102.78     0     34.25     21.23     17.48    12     35.49     22.31     17.29
 1499882102.88     0     35.47     22.85     12.78    12     36.20     23.66     12.95
 1499882102.98     0     34.40     21.33     17.55    12     35.71     22.47     17.55
 1499882103.08     0     35.19     22.73     12.74    12     36.12     23.62     12.78
 1499882103.18     0     34.77     21.58     17.65    12     35.75     22.52     17.53
 1499882103.28     0     34.73     22.02     14.24    12     35.69     22.93     14.35
 1499882103.38     0     35.05     22.17     15.92    12     36.06     23.14     16.02
 1499882103.48     0     34.63     21.47     17.55    12     35.48     22.27     17.46
 1499882103.58     0     35.26     22.80     12.80    12     36.22     23.73     12.72
 1499882103.68     0     34.75     21.56     17.58    12     35.75     22.51     17.44
 1499882103.78     0     35.15     22.69     12.74    12     35.76     23.40     12.65
 1499882103.88     0     33.71     20.55     17.44    12     34.85     21.63     17.33
 1499882103.98     0     27.77     15.41     11.84    12     30.21     17.82     11.56
 1499882104.08     0     34.59     21.40     17.41    12     35.44     22.19     17.63
 1499882104.18     0     35.16     22.71     12.63    12     36.14     23.66     12.67
 1499882104.28     0     34.77     21.58     17.65    12     35.75     22.50     17.57
 1499882104.38     0     34.81     22.19     13.67    12     35.80     23.15     13.57
 1499882104.48     0     34.96     21.98     16.66    12     35.94     22.90     16.63
 1499882104.58     0     34.60     21.51     17.00    12     35.56     22.44     16.95
 1499882104.68     0     35.09     22.56     13.32    12     36.12     23.53     13.35
 1499882104.78     0     34.74     21.55     17.55    12     35.65     22.41     17.65
 1499882104.88     0     35.16     22.70     12.82    12     36.15     23.65     12.77
 1499882104.98     0     34.47     21.40     17.53    12     35.73     22.49     17.56
 1499882105.08     0     35.09     22.30     13.78    12     35.69     22.99     13.89
 1499882105.18     0     35.00     22.07     16.39    12     36.02     23.02     16.31
 1499882105.28     0     34.26     21.26     17.07    12     35.51     22.35     17.26
 1499882105.38     0     35.52     22.89     13.26    12     36.19     23.63     12.86
 1499882105.48     0     34.41     21.34     17.33    12     35.69     22.44     17.57
 1499882105.58     0     35.15     22.69     12.64    12     36.15     23.66     12.77
 1499882105.68     0     34.85     21.66     17.65    12     35.78     22.53     17.48
 1499882105.78     0     34.80     22.08     14.20    12     35.72     22.95     14.24
 1499882105.88     0     35.14     22.23     15.97    12     36.10     23.15     16.01
 1499882105.98     0     34.52     21.35     17.35    12     35.49     22.26     17.50
 1499882106.08     0     35.16     22.69     12.61    12     35.88     23.51     12.67
 1499882106.18     0     34.69     21.50     17.65    12     35.72     22.47     17.48
 1499882106.28     0     35.11     22.65     12.74    12     36.15     23.65     12.78
 1499882106.38     0     34.78     21.60     17.55    12     35.78     22.54     17.56
 1499882106.48     0     34.68     21.92     14.63    12     35.70     22.91     14.56
 1499882106.59     0     34.97     22.13     15.60    12     36.09     23.18     15.57
 1499882106.69     0     34.49     21.30     17.52    12     35.52     22.27     17.65
 1499882106.79     0     35.19     22.74     12.82    12     36.28     23.78     12.77
